id,fullname,nickname,gender,email,email_verified_at,password,birth_place,birth_date,religion_id,address,province_id,city_id,district_id,sub_district_id,postal_code_id,phone,photo,remember_token,created_at,updated_at,identity_number,npwp,bank_id,account_number,account_holder,active_role
8a3b75bd-efbe-4168-a82d-7c40feff22e4,User Direktur,,,direktur@example.com,2025-11-03 01:07:15,$2y$12$1p/fLS4lKp0d7NUoki.nbe.RktaZJbLbkfHlfA23WLq3HxxISM6Wi,,,,,,,,,,,,6Updptgbwx,2025-11-03 01:07:15,2025-11-03 01:07:15,,,,,,
d82162a3-5824-4426-a8f8-690937d06a03,User Spv HRD,,,hrd@gmail.com,2025-11-03 01:07:15,$2y$12$OEMeHoYCfKZzv6URI9/XyO4usAfQN0kP.Ph32l14NRNvkQtVYQfMu,,,,,,,,,,,,HInf5Kt0Gu,2025-11-03 01:07:15,2025-11-03 01:07:15,,,,,,
aef229d9-64fe-4e65-9910-1091def4abbd,l,,1,l@example.com,,$2y$12$m9DdtgEFrdfdL6wfcMwhiewC.nzuVlf3b/i9Z502I1f9IBIMvdqPm,,,,,,,,,,0,,,2025-11-06 02:03:47,2025-11-06 02:03:47,,,,,,
ae9d65a8-9a6c-4ef9-9172-b2bd61a3a9c9,as2,hg7,2,majsk@Gmail.com,,$2y$12$zsl1E01ETa2oP6wFOpC9geXWwVLEvTqbVDaMlw9SLnF31fBkFdflm,kj,1990-01-01,1,laksjm,5,91,1104,15935,15935,087,,,2025-11-12 07:04:03,2025-12-01 03:07:29,3509192207970002,0,,01928,laksj,58c3ae6d-c36a-4468-be1e-a6b618086cec
11faaf68-f76c-4c46-80e7-748156c15eb8,Mohammad Imran,Imran,1,imron@gmail.com,,$2y$12$Jz2JO/zR93umipEtu5O2dOhStwz2.6kKePTLA..XHtBnTT52B.Sgi,jember,1997-07-22,1,hayam wuruk,15,234,3372,42178,42178,081726,,,2025-11-03 06:43:18,2025-11-03 06:59:42,3509192207960001,,,,,
c6268ffe-c142-4589-b6ff-5063dc70df43,Manager Administrasi,,,manageradm@example.com,2025-11-04 02:11:52,$2y$12$RdFLXVuqB6nUc00LzgTRqegXGpQlKVMR.ir1ndwIj1Yi0ciW3jwUG,,,,,,,,,,,,8Rrf8LoTJU,2025-11-04 02:11:52,2025-11-04 02:11:52,,,,,,
553daa8c-5358-448a-a44d-621c67374e58,Manager Teknik,,,managerteknik@gmail.com,2025-11-04 02:11:52,$2y$12$f2NDPP4qbhENwUl2wlg3SuxHeaKoiU.KNc7gg9j7mN0.98G.1201K,,,,,,,,,,,,OmvKwSqFdq,2025-11-04 02:11:52,2025-11-04 02:11:52,,,,,,
e0a45d13-0200-4500-bfc5-b1ed88045e93,Spv Marketing,,,spvmarketing@gmail.com,2025-11-04 02:11:52,$2y$12$S68OCYkA3aBA6GLEpmOwJOjVD/VaSmA7FrNaDM1J39jvl9berDvum,,,,,,,,,,,,LJ10zxdsL6,2025-11-04 02:11:52,2025-11-04 02:11:52,,,,,,
44b31020-c81c-46a0-9a35-a7546610ada1,Spv Finance,,,spvfinance@gmail.com,2025-11-04 02:11:53,$2y$12$cfYOmq.d4LKfSohf0QQIwu8siT.I4geyDnR3ogPEhBirKwajLuM..,,,,,,,,,,,,7BrcZzao7d,2025-11-04 02:11:53,2025-11-04 02:11:53,,,,,,
a55e4699-0524-44d2-b6d4-4b037b1b974d,Spv Arsitek,,,spvarsitek@gmail.com,2025-11-04 02:11:53,$2y$12$JzZ5MR50.gVfiyWwZR3RcuO2gPfBOAu2EP385V9REnJRkosO18myC,,,,,,,,,,,,QFOCXPNyk2,2025-11-04 02:11:53,2025-11-04 02:11:53,,,,,,
